customerId,firstName,lastName,email,pageId,url,timeSpentMs
440336c5-293a-488a-a829-79a1f3ea00ef,Roobbie,Baigrie,rbaigrie0@indiegogo.com,43,http://testsite.zz/43/cars,88742
933af785-dfc4-404a-8ca9-be73e78c5db0,Lezlie,Raubheim,lraubheim1@answers.com,43,http://testsite.zz/43/cars,115495
b77c4a27-717a-458a-9d64-89500ed3a5c7,Kissie,Damiata,kdamiata2@unc.edu,43,http://testsite.zz/43/cars,58556
933af785-dfc4-404a-8ca9-be73e78c5db0,Lezlie,Raubheim,lraubheim1@answers.com,43,http://testsite.zz/43/cars,104837
e4e06243-3098-48f7-bd2a-fae7faf55190,Rem,Hick,rhick4@gmpg.org,98,http://testsite.zz/98/bikes,24511
254b5f75-be85-49b3-9bee-89d31912d6a0,Tad,Currum,tcurrum5@alexa.com,43,http://testsite.zz/43/cars,91194
254b5f75-be85-49b3-9bee-89d31912d6a0,Tad,Currum,tcurrum5@alexa.com,43,http://testsite.zz/43/cars,30998
440336c5-293a-488a-a829-79a1f3ea00ef,Roobbie,Baigrie,rbaigrie0@indiegogo.com,43,http://testsite.zz/43/cars,21075
56d46596-0e07-4e3f-a864-dc08f5e36916,Fiona,Mattussevich,fmattussevich8@skyrock.com,98,http://testsite.zz/98/bikes,119884
fa03445f-831d-4a59-9039-11f4fadfbe18,Suki,Brandom,sbrandom9@spiegel.de,98,http://testsite.zz/98/bikes,4197
17c92d65-e502-428d-81bb-dfae64e8780e,Ermin,Godsmark,egodsmarka@wired.com,43,http://testsite.zz/43/cars,61245
79535db0-83b6-4fc5-9aee-aac517230877,Reg,Szreter,rszreterb@nasa.gov,57,http://testsite.zz/57/boats,69764
6e7318e3-bcd6-43a9-a8a0-69ed226f62de,Vere,Rushbury,vrushburyc@usda.gov,43,http://testsite.zz/43/cars,91065
30d452b9-a703-467c-a067-dae10372ebc0,Mara,Pierucci,mpieruccid@pcworld.com,43,http://testsite.zz/43/cars,94536
f105633a-11f3-4103-940d-fb9fb2aea01f,Berky,Govier,bgoviere@craigslist.org,57,http://testsite.zz/57/boats,6465
933af785-dfc4-404a-8ca9-be73e78c5db0,Lezlie,Raubheim,lraubheim1@answers.com,43,http://testsite.zz/43/cars,117496
c0e9d44b-421a-4499-a219-a80724a6d67b,Adan,Dufoure,adufoureg@tripadvisor.com,43,http://testsite.zz/43/cars,90790
